	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
WD_C-C2_50	0.990485554171428	1919459	0.9015	3928	14458	0.01521648914096	0.0517403726931302	0.343780143682054	FALSE	TRUE
WD_C-C2_51	0.991937717915652	2746833	0.9102	4571	16126	0.0172392409773037	0.0407622913588197	0.363216296095393	FALSE	TRUE
WD_C-C2_52	0.984751452865116	1583781	0.8814	3342	12044	0.0338757887744935	0.0518834557861949	0.333862948665461	FALSE	TRUE
WD_C-C2_53	0.986612327234248	1656061	0.8964	3779	10289	0.0338225289143746	0.0710198480832791	0.361106638267757	FALSE	TRUE
WD_C-C2_54	0.988954991987161	2924933	0.9038	5563	26126	0.0149276582714537	0.0253064741967933	0.374526940630565	FALSE	TRUE
WD_C-C2_55	0.980476071012204	1352975	0.8731	766	15656	0.0142437404190087	0.0962827785202675	0.185493968215996	FALSE	FALSE
WD_C-C2_56	0.987528340461764	1770517	0.9096	3671	9653	0.0320107738526883	0.0817793712572937	0.358339667123901	FALSE	TRUE
WD_C-C2_57	0.950506544405827	142097	0.8385	28	51	0.0392156862745098	0.953365518287289	0.0523960529239528	FALSE	FALSE
WD_C-C2_58	0.984958429541769	1811772	0.8996	2627	6748	0.0665382335506817	0.0791979076954253	0.30529722298399	FALSE	TRUE
WD_C-C2_59	0.992361849692631	1593862	0.9086	3750	11198	0.0209858903375603	0.090279846458938	0.359709661729806	FALSE	TRUE
WD_C-C2_60	0.992297111039114	1602217	0.8999	4136	15826	0.0592063692657652	0.066529934000656	0.364169498601762	FALSE	TRUE
WD_C-C2_61	0.990785302514791	4157822	0.9007	4660	18710	0.0444681988241582	0.0230760778094609	0.342189943514574	FALSE	TRUE
WD_C-C2_62	0.98577200622573	1326331	0.9091	3403	9589	0.0335801439149025	0.0677756024368795	0.336480574977032	FALSE	TRUE
WD_C-C2_63	0.978336476395559	1650953	0.9017	3905	11887	0.0313788171952553	0.0922908377618875	0.358904569253279	FALSE	TRUE
WD_C-C2_64	0.98799634272245	1868704	0.9047	3853	13035	0.0204065976217875	0.0698364853297885	0.358377066682556	FALSE	TRUE
WD_C-C2_65	0.992129401892416	1436310	0.899	3641	15974	0.0306748466257669	0.0679051971652407	0.354275301518917	FALSE	TRUE
WD_C-C2_66	0.994451654675	1902621	0.9041	4257	18505	0.0458254525803837	0.0706942888732681	0.366719651901653	FALSE	TRUE
WD_C-C2_67	0.960972723408866	134012	0.6438	48	127	0	0.817284008538788	0.0486316899852909	FALSE	FALSE
WD_C-C2_68	0.991544717236926	1800647	0.9039	4645	19857	0.0236692350304678	0.0724478580962909	0.381796712688608	FALSE	TRUE
WD_C-C2_69	0.989043915976203	1182310	0.8943	2955	9939	0.0673105946272261	0.059321867379801	0.309868728533672	FALSE	TRUE
WD_C-C2_70	0.977150093812943	1425596	0.8979	3786	15684	0.0346212700841622	0.0736649803488156	0.364622285883633	FALSE	TRUE
WD_C-C2_71	0.977034892967334	2008424	0.8998	3722	11388	0.0374956094134176	0.0612009178685357	0.342484134976683	FALSE	TRUE
WD_C-C2_72	0.988589825936003	2326018	0.9034	3588	10036	0.0361697887604623	0.0477794536946136	0.350702044618022	FALSE	TRUE
WD_C-C2_73	0.985632108103743	2028891	0.8945	4279	18382	0.0320966162550321	0.0512742302525156	0.367594530231429	FALSE	TRUE
WD_C-C2_74	0.984626172491244	1889889	0.8868	4241	19790	0.0329964628600303	0.0583108250601467	0.35117154197157	FALSE	TRUE
WD_C-C2_75	0.992627028224863	2780407	0.8835	5526	31287	0.0184102023204526	0.0446286208094347	0.368957505181937	FALSE	TRUE
