	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SEZC-8_61	0.981605917727773	2007333	0.9086	3783	37878	0.0313110512698664	0.0928598957672049	0.348940310081764	FALSE	TRUE
SEZC-8_62	0.938517223069316	254374	0.7172	1576	2992	0.0267379679144385	0.955257972492084	0.306900554276201	FALSE	FALSE
SEZC-8_63	0.986698696464261	3331114	0.9208	4579	47771	0.0302484771095434	0.0590797248827884	0.362560030553168	FALSE	TRUE
SEZC-8_64	0.986832519161122	1167450	0.9036	4236	34020	0.0358906525573192	0.0379703653337726	0.369024287736982	FALSE	TRUE
SEZC-8_65	0.660383660007932	185789	0.7462	745	1136	0.034330985915493	0.986723474205967	0.239556708540431	FALSE	FALSE
SEZC-8_66	0.958704878547297	2444962	0.91	3388	18361	0.0355645117368335	0.0970374007692937	0.324874739694529	FALSE	TRUE
SEZC-8_67	0.920470042545547	139067	0.8196	537	734	0.0204359673024523	0.975348038439521	0.21381736581106	FALSE	FALSE
SEZC-8_69	0.985920827314168	3953596	0.9117	5105	27777	0.0533174928898009	0.0443342274798623	0.340578173612279	FALSE	TRUE
SEZC-8_70	0.984623621112409	2215505	0.9094	3610	17910	0.03964265773311	0.0577326286293315	0.358776026264015	FALSE	TRUE
SEZC-8_71	0.97291993850091	2360534	0.9129	4020	17571	0.0560582778441751	0.0712885972565062	0.340226245558968	FALSE	TRUE
SEZC-8_72	0.985665676248808	1848089	0.91	3902	18944	0.0495671452702703	0.0729287862936999	0.352800721537158	FALSE	TRUE
SEZC-8_73	0.736003346840689	179147	0.617	441	611	0.027823240589198	0.966390168275487	0.196337862467981	FALSE	FALSE
SEZC-8_74	0.664521882120023	187655	0.6598	459	680	0.0235294117647059	0.945963558637229	0.199827275431694	FALSE	FALSE
SEZC-8_75	0.979853998474892	958751	0.9019	3239	11913	0.0344161840006715	0.0932279592033242	0.345886251684901	FALSE	TRUE
SEZC-8_77	0.984670395315498	2513412	0.9101	4172	21596	0.0281070568623819	0.0620888201918271	0.354333254328935	FALSE	TRUE
SEZC-8_78	0.9823965467926	2959540	0.9105	4606	29733	0.0260653146335721	0.0497913076524896	0.3629945459733	FALSE	TRUE
SEZC-8_79	0.925906591016289	243492	0.8311	509	675	0.0444444444444444	0.989587254595453	0.207588036970741	FALSE	FALSE
SEZC-8_80	0.986814586143336	2341376	0.9131	4745	27126	0.0310034653100347	0.0443124201420399	0.372007529378372	FALSE	TRUE
SEZC-8_81	0.692559036189569	193775	0.6911	575	1541	0.343932511356262	0.87211940506098	0.224510283249942	FALSE	FALSE
SEZC-8_82	0.951428020865462	1947098	0.8978	4223	47963	0.0473906969956008	0.0760990311126477	0.356474304307791	FALSE	TRUE
SEZC-8_83	0.968020878866576	947926	0.9056	3276	20142	0.0773508092542945	0.066630897336763	0.342366149703454	FALSE	TRUE
SEZC-8_85	0.913136407944983	127426	0.7743	854	1447	0.0172771250863856	0.944468120368397	0.260105201426961	FALSE	FALSE
SEZC-8_86	0.980192701810987	2060784	0.9138	4474	41804	0.0230121519471821	0.0430610847928315	0.371354728348443	FALSE	TRUE
SEZC-8_87	0.980844649741879	2691112	0.9116	4467	45415	0.0534404932291093	0.0532390198817522	0.358853188736083	FALSE	TRUE
SEZC-8_88	0.988026919607901	1980407	0.9087	4415	40404	0.0200722700722701	0.0478020338360535	0.370198417737017	FALSE	TRUE
SEZC-8_89	0.787982407855304	169641	0.7114	443	1434	0.0202231520223152	0.535833870269243	0.197010291711222	FALSE	FALSE
SEZC-8_90	0.980095042927287	3122131	0.8985	5826	47051	0.0654396293383775	0.0231507652071015	0.356396373605044	FALSE	TRUE
SEZC-8_91	0.979564397749995	1186250	0.9069	4824	27256	0.0605738186087467	0.0308113124140032	0.355906254709375	FALSE	TRUE
SEZC-8_93	0.958209664810174	654360	0.8967	2555	8471	0.0226655648683745	0.114626588025779	0.339635227285708	FALSE	TRUE
SEZC-8_94	0.984503487734148	1444283	0.9041	4489	21539	0.0318027763591624	0.0602398056477104	0.36516451195465	FALSE	TRUE
SEZC-8_95	0.987978055687299	1628649	0.9106	3791	18825	0.0366002656042497	0.0459759648865439	0.350446962185974	FALSE	TRUE
