	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SD-2_02	0.945528374764782	1506468	0.8051	3407	11846	0.0543643423940571	0.0942243248570865	0.421174589804157	FALSE	TRUE
SD-2_03	0.986098600398156	1785135	0.8543	4473	22347	0.0711057412628093	0.0496935467331372	0.452163824923951	FALSE	TRUE
SD-2_05	0.989629474433259	2409167	0.8527	4860	20265	0.0446582778188996	0.0318179186435926	0.450996844869964	FALSE	TRUE
SD-2_06	0.979239088323458	1708197	0.8096	3605	14217	0.0380530350988253	0.0813382067157165	0.426470967149966	FALSE	TRUE
SD-2_07	0.985707935599069	2366319	0.825	4150	21115	0.0577788302154866	0.0660923051101394	0.441782381470477	FALSE	TRUE
SD-2_08	0.987134556887352	1695281	0.8453	3904	16715	0.0400239306012564	0.0596183625132572	0.444281505744562	FALSE	TRUE
SD-2_09	0.954267382805872	1272165	0.7706	3306	11879	0.058506608300362	0.0782467370659343	0.416004904910464	FALSE	TRUE
SD-2_10	0.971889455718193	1907040	0.7531	3845	16177	0.0801137417320888	0.0691572307022247	0.431422529009853	FALSE	TRUE
SD-2_11	0.935866288089453	157119	0.4784	848	1361	0.0227773695811903	0.952430700654687	0.283010726769613	FALSE	FALSE
SD-2_13	0.987963701542928	1952398	0.845	4275	17267	0.0248450802108067	0.0448619882774393	0.439846479392081	FALSE	TRUE
SD-2_14	0.986906748685543	2163215	0.8414	4510	21978	0.0632450632450633	0.043955543161088	0.449046382653773	FALSE	TRUE
SD-2_15	0.988651704245276	3056059	0.8502	4779	26631	0.0546731253050956	0.052568534220602	0.45842426376011	FALSE	TRUE
SD-2_16	0.986132829687997	4284390	0.1976	4024	16133	0.0296287113370111	0.0670159445640474	0.442180601371758	FALSE	FALSE
SD-2_17	0.96385433753681	1920503	0.8359	4750	18694	0.0614635711993153	0.054025816927834	0.448973755437545	FALSE	TRUE
SD-2_18	0.95825770245282	1282977	0.8125	3409	11159	0.0597723810377274	0.101667331452994	0.418785931017552	FALSE	TRUE
SD-2_19	0.989721174079243	3432361	0.5223	5720	31383	0.0453111557212504	0.0285190941903598	0.461090853839693	FALSE	FALSE
SD-2_21	0.991137835461683	2367327	0.8536	4507	20854	0.0760525558645823	0.0395758630398301	0.44581991139956	FALSE	TRUE
SD-2_22	0.984896182006229	2324634	0.8476	4313	19323	0.0355534854836206	0.0549370741504976	0.444373114467436	FALSE	TRUE
SD-2_23	0.992110516951649	4120088	0.8588	5627	35945	0.103574906106552	0.023904639439123	0.465077790142603	FALSE	TRUE
SD-2_24	0.966296748733868	426934	0.6338	928	3153	0.0123691722169363	0.275114832005475	0.285292686236111	FALSE	FALSE
SD-2_25	0.973378127152793	2956680	0.8517	5539	35846	0.103972549238409	0.0389548148350907	0.465298003473881	FALSE	TRUE
SD-2_26	0.97882548652587	3555474	0.858	5129	32769	0.0976227532118771	0.0373215997098972	0.454947680725629	FALSE	TRUE
SD-2_27	0.985558286735569	1650478	0.8436	4521	19717	0.0616219506010042	0.048521032745146	0.447556692083552	FALSE	TRUE
SD-2_29	0.980519041763113	1175500	0.7541	2572	9289	0.0629777155775649	0.0916032357243067	0.392359602906682	FALSE	TRUE
SD-2_30	0.982752627719684	2739398	0.8608	5046	25408	0.0308957808564232	0.0439021051767089	0.462024731972793	FALSE	TRUE
SD-2_31	0.991076145229181	3275164	0.7604	4982	22306	0.0351474939478167	0.0571242082484197	0.458009275095232	FALSE	TRUE
SD-2_32	0.966729054277221	259808	0.3867	815	1199	0.0375312760633862	0.922084783123531	0.276029572035738	FALSE	FALSE
SD-2_33	0.967958151524739	1836696	0.8275	4452	23960	0.0820116861435726	0.0460546014651536	0.451555881669083	FALSE	TRUE
SD-2_34	0.936762128662513	904665	0.764	2552	8920	0.0977578475336323	0.133427788058564	0.386110141299789	FALSE	TRUE
SD-2_35	0.936082672831352	160632	0.4947	572	801	0.0274656679151061	0.968617426302622	0.245449888646064	FALSE	FALSE
SD-2_37	0.977741043328989	1249250	0.8045	3139	13397	0.0588937821900425	0.0744298417785395	0.412454113962804	FALSE	TRUE
SD-2_38	0.982450237756501	1077777	0.784	2856	11356	0.0593518844663614	0.102935330920349	0.397884266478031	FALSE	TRUE
SD-2_39	0.981339248778935	2201591	0.8255	4213	23854	0.0601157038651798	0.0540472132920232	0.445656242935937	FALSE	TRUE
SD-2_40	0.986182409882077	1706505	0.8261	4016	17199	0.039595325309611	0.0495555738851051	0.422531830038462	FALSE	TRUE
SD-2_41	0.966996901299457	1862296	0.8194	4433	33990	0.0350985583995293	0.0760755876574419	0.450314084166741	FALSE	TRUE
SD-2_42	0.966697974572001	1962476	0.8345	4303	30517	0.0777927057050169	0.073286476471197	0.435596118971486	FALSE	TRUE
SD-2_43	0.960086603025753	460844	0.7127	1459	9592	0.0156380316930776	0.200504097283608	0.33311843785562	FALSE	FALSE
SD-2_45	0.906161766463734	280765	0.4001	1393	2552	0.0344827586206897	0.953429530272393	0.339389039219557	FALSE	FALSE
SD-2_46	0.984096264174506	1765743	0.8343	4104	31327	0.0549685574743831	0.0774917037214134	0.440248711402585	FALSE	TRUE
SD-2_47	0.982442303345026	1692570	0.8273	3673	25306	0.0261202876788113	0.118053483011934	0.434982249007371	FALSE	TRUE
SD-2_48	0.989411655326234	2582347	0.8541	5174	53290	0.0431413023081254	0.0255517740123418	0.465958664863501	FALSE	TRUE
SD-2_49	0.952664163272387	1518387	0.8066	3773	16679	0.083398285268901	0.0750077542705164	0.427224350804156	FALSE	TRUE
SD-2_50	0.964693483062047	2392307	0.8388	3947	17854	0.0803741458496695	0.0504633164395479	0.416298429986386	FALSE	TRUE
SD-2_51	0.984615936577012	1086402	0.8359	3582	15271	0.0501604348110798	0.0950063872104869	0.424702331598312	FALSE	TRUE
SD-2_53	0.972374136512371	601819	0.6997	1298	4862	0.110242698477993	0.25209030224862	0.301497332850041	FALSE	FALSE
SD-2_54	0.970583489087028	1662324	0.807	3531	17754	0.0584093725357666	0.0738432465078221	0.426195820573823	FALSE	TRUE
SD-2_55	0.992374511728909	2920126	0.849	4559	28388	0.0669649147527124	0.0439462065074494	0.447172876328005	FALSE	TRUE
SD-2_56	0.985850467646619	1433188	0.8354	3666	17758	0.0656605473589368	0.0479191856156636	0.411820086182327	FALSE	TRUE
SD-2_57	0.968712348628724	1926030	0.8425	4719	45047	0.0319222145758874	0.0515076425382312	0.461947913067798	FALSE	TRUE
SD-2_58	0.969796654536168	2324723	0.8411	4569	55717	0.0542383832582515	0.0903205268181138	0.452599684462689	FALSE	TRUE
SD-2_59	0.987603750285058	1435065	0.8464	4480	33853	0.0487401411987121	0.047860743554112	0.458977253591837	FALSE	TRUE
SD-2_61	0.991262129073255	2295219	0.8571	4561	51760	0.060355486862442	0.0406415265020478	0.448332265659535	FALSE	TRUE
SD-2_62	0.981072265874413	1735212	0.8344	3884	31838	0.132388969156354	0.0690636235438206	0.420212034994225	FALSE	TRUE
SD-2_63	0.981070955106739	1713772	0.6607	3621	22402	0.0910186590482993	0.0731833252909126	0.430029842448534	FALSE	TRUE
SD-2_64	0.928439743256484	293486	0.4715	1427	2649	0.0324650811627029	0.947941945337169	0.344718180220546	FALSE	FALSE
SD-2_65	0.972747538327585	3029491	0.8287	5057	33791	0.113225415051345	0.0375676242927351	0.448586315009801	FALSE	TRUE
SD-2_66	0.911511888058853	690347	0.6633	1518	4972	0.315164923572003	0.32792386866703	0.331178701559018	FALSE	FALSE
SD-2_67	0.986964349254457	1730702	0.8543	4647	22302	0.0524616626311542	0.0436321963920524	0.452408483160138	FALSE	TRUE
SD-2_69	0.988352910094345	2626366	0.8577	4410	24281	0.0503686009637165	0.0534557413281055	0.443820641234134	FALSE	TRUE
SD-2_70	0.938291490406279	352120	0.4701	1111	1670	0.0275449101796407	0.960850420531033	0.303570063284846	FALSE	FALSE
SD-2_71	0.988558387051363	2754490	0.8396	4408	21889	0.036228242496231	0.0451624709915487	0.450771642608018	FALSE	TRUE
SD-2_72	0.984282019878977	1777220	0.8344	4286	20784	0.0356043110084681	0.0518320358098846	0.446479295839011	FALSE	TRUE
SD-2_73	0.950036127116076	2294692	0.8304	4081	25538	0.16735844623698	0.0583296270306421	0.419168904681512	FALSE	FALSE
SD-2_74	0.968918357105783	2573284	0.8462	4454	21656	0.041558921315109	0.0399056265716225	0.434949008502948	FALSE	TRUE
SD-2_75	0.982262836610387	1364410	0.8403	3994	17672	0.0547193300135808	0.05053804268098	0.444530640482279	FALSE	TRUE
SD-2_77	0.978142212778834	695968	0.7148	1162	4836	0.032671629445823	0.208363849599618	0.317467933449938	FALSE	FALSE
SD-2_78	0.989690322597868	2556724	0.8442	4569	26211	0.0438747090916028	0.033907087845726	0.44881872982278	FALSE	TRUE
SD-2_79	0.961863265601465	1706844	0.8274	3839	18468	0.0621615767814598	0.0754340316719752	0.430728466094521	FALSE	TRUE
SD-2_80	0.989135215186465	2034566	0.7931	4410	24228	0.152922238732046	0.0420285599724693	0.427489043458215	FALSE	FALSE
SD-2_81	0.969913958453656	1780952	0.8253	4925	40397	0.0578508305072159	0.0422304854462485	0.451629594977678	FALSE	TRUE
SD-2_82	0.959351303728048	1972490	0.8297	4349	52547	0.0626106152587208	0.0609151156791936	0.432382112003955	FALSE	TRUE
SD-2_83	0.985548915193215	1858070	0.8639	5543	48770	0.0580684847242157	0.038367029075697	0.46610764397914	FALSE	TRUE
SD-2_85	0.987315000732901	2147205	0.8515	4653	48526	0.0374026295181964	0.0472237553012258	0.443682178460074	FALSE	TRUE
SD-2_86	0.985860448527138	1957944	0.8443	4674	42693	0.0425596702035463	0.0536463598354178	0.452986991232951	FALSE	TRUE
SD-2_87	0.984068973302478	1647353	0.8464	4169	34529	0.0386921138752932	0.0718321298674466	0.447588027522756	FALSE	TRUE
SD-2_88	0.989002035274116	1447000	0.8453	4379	36753	0.0547982477620875	0.0641178677065303	0.446629912766735	FALSE	TRUE
SD-2_89	0.950499696994112	949944	0.7935	3374	12905	0.0784192173576133	0.0637021543610123	0.405988037755138	FALSE	TRUE
SD-2_90	0.934137760607824	739831	0.7808	2786	9564	0.0641990798828942	0.0978342877920189	0.392771616573075	FALSE	TRUE
SD-2_91	0.983224063895967	747922	0.8342	3665	12990	0.0364896073903002	0.0732886278733214	0.433048848452226	FALSE	TRUE
SD-2_93	0.987176185581812	1004808	0.8247	3298	13923	0.0619837678661208	0.0645268660909502	0.402970657756301	FALSE	TRUE
