orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
WT_1_12-2	WT	95996	35752	37543.2081661025	14555	atac	Fibro-FBLN1	0.520255122361159	11.2447133039066	18.8266804821914	0.243120076158244	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_12-3	WT	91381	33259	35101.5693613954	14089	atac	Fibro-FBLN1	0.771453033518322	12.8930254771019	16.1675371870599	0.683477846561515	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_1_12-4	WT	107483	39646	41642.553243657	15067	atac	Fibro-FBLN1	0.582069084533876	9.71803674073842	17.7179836942935	-1.04018241792797	2.06062392005942	-0.115666004720209	-0.092707651815819
WT_1_12-5	WT	108856	38547	40310.9497501454	14886	atac	Fibro-ADAM28	0.399697401116926	3.59363329153852	18.7654172872489	2.28033055153352	0.849472692689152	-0.115666004720209	-0.092707651815819
WT_1_12-6	WT	151027	51992	54211.23326228	16689	atac	Fibro-FBLN1	0.610154278094214	11.7085962639132	17.023763135726	1.9969157055966	-0.197091434612306	-0.115666004720209	-0.092707651815819
WT_1_12-7	WT	200870	61223	65024.3035559108	17185	atac	Endo	0.817559132651131	-18.4110694853956	20.0437000727552	0.997253706260105	-0.314646035835075	-0.115666004720209	-0.092707651815819
WT_1_12-8	WT	226759	66671	69650.6086980345	17782	atac	Fibro-FBLN1	0.812365395280171	11.4305933163144	16.5026332642168	1.50166461993705	0.175381197613756	-0.115666004720209	-0.092707651815819
WT_2_1-1	WT	156049	50266	53017.4804627387	16298	atac	Fibro-FBLN1	0.741224279783569	11.4403036845662	16.4393546190663	-1.04018241792797	1.35682522420816	-0.115666004720209	-0.092707651815819
WT_2_1-3	WT	118552	40746	43226.3128818829	15340	atac	Fibro-ADAM28	0.419939170407658	5.18173440745468	19.9414200445666	0.705524103619537	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_1-4	WT	168776	58585	61282.7913875993	17208	atac	Epi	0.684715825192368	38.5538516825721	4.631264575027	1.59435225905635	0.0730198880074907	-0.115666004720209	-0.092707651815819
WT_2_1-5	WT	76713	30935	32751.0330273404	13754	atac	Fibro-ADAM28	0.298288042884221	-16.4648865757928	16.3569248957597	-1.04018241792797	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_1-6	WT	133266	46185	48311.4040837278	15979	atac	T	0.979587775006222	5.29362938488127	-33.4474138297967	0.555094042893196	-0.501013941104865	-0.115666004720209	-0.092707651815819
WT_2_1-7	WT	140026	47976	50411.9346360589	16049	atac	Fibro-FBLN1	0.799417318042879	10.3726710466208	18.5016453840536	-0.348479165270529	-0.144813933688117	-0.115666004720209	6.40139955277043
