p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-9249	2.71652608076225e-44	0.276577354621019	0.992	0.549	3.56875464281899e-39	Epi	Peak-9249
Peak-11239	4.90148230142394e-44	0.253523231590646	0.992	0.686	6.43917532902665e-39	Epi	Peak-11239
Peak-7822	2.80011995935159e-43	0.275589112561814	0.992	0.597	3.67857359299937e-38	Epi	Peak-7822
Peak-8676	3.98440046348745e-42	0.268479352885114	0.992	0.552	5.23438657689274e-37	Epi	Peak-8676
Peak-13821	4.40601475652853e-42	0.332847508341322	1	0.664	5.78826970594666e-37	Epi	Peak-13821
Peak-7647	2.21266530193702e-41	0.268620853671216	1	0.7	2.9068226604607e-36	Epi	Peak-7647
Peak-10575	6.79077383986525e-41	0.251519501426889	1	0.709	8.92117540890777e-36	Epi	Peak-10575
Peak-21346	4.49279559553373e-40	0.300933639438382	0.992	0.608	5.90227542976457e-35	Epi	Peak-21346
Peak-18321	1.49502342669745e-37	0.417117294234598	0.969	0.585	1.96404217612097e-32	Epi	Peak-18321
Peak-40432	2.43751051372063e-36	0.254731200430604	0.824	0.294	3.20220631208507e-31	Epi	Peak-40432
Peak-33385	2.41460696721505e-35	0.253081534507133	0.802	0.258	3.17211746496975e-30	Epi	Peak-33385
Peak-4606	1.62926193633991e-32	0.301994151915884	1	0.933	2.14039399100847e-27	Epi	Peak-4606
Peak-6299	7.00706979963143e-30	0.252507639959017	1	0.908	9.2053277371718e-25	Epi	Peak-6299
Peak-23860	1.18443166737412e-50	0.280972353366331	0.932	0.183	1.55601157006272e-45	Endo	Peak-23860
Peak-27733	2.4759697758294e-48	0.265419173007982	0.918	0.178	3.2527310139026e-43	Endo	Peak-27733
Peak-18954	1.47318432384557e-46	0.320230283179281	0.932	0.231	1.9353517099224e-41	Endo	Peak-18954
Peak-29409	2.36831337446386e-45	0.336899606207631	0.918	0.229	3.11130064630067e-40	Endo	Peak-29409
Peak-22924	4.02510370900385e-43	0.288854343002834	0.904	0.224	5.28785924459254e-38	Endo	Peak-22924
Peak-24648	1.06138038877842e-41	0.31549381402827	0.932	0.275	1.39435664434599e-36	Endo	Peak-24648
Peak-27636	2.03366511981884e-41	0.255507577266186	0.918	0.222	2.67166654120841e-36	Endo	Peak-27636
Peak-18374	4.4901038085418e-41	0.429521806582397	0.945	0.335	5.89873917535753e-36	Endo	Peak-18374
Peak-26844	2.33209083007223e-40	0.252839112968317	0.932	0.255	3.06371436528249e-35	Endo	Peak-26844
Peak-37594	2.52731910191926e-39	0.258917786752605	0.863	0.205	3.32018965057337e-34	Endo	Peak-37594
Peak-19644	7.59195530028158e-39	0.292219804410286	0.918	0.265	9.97370351708592e-34	Endo	Peak-19644
Peak-29745	5.0055159046136e-38	0.287364905102857	1	0.453	6.57584635420898e-33	Endo	Peak-29745
Peak-20870	1.08599482222386e-37	0.274612889850804	0.959	0.342	1.42669311785193e-32	Endo	Peak-20870
Peak-17858	2.60254824667723e-37	0.337419798859237	0.918	0.378	3.41901968262481e-32	Endo	Peak-17858
Peak-30646	1.1539117434722e-35	0.335355232879718	0.932	0.335	1.51591693563429e-30	Endo	Peak-30646
Peak-10299	8.2479439406339e-33	0.407782133987588	0.986	0.713	1.08354889136896e-27	Endo	Peak-10299
Peak-13541	9.16001514263586e-33	0.591099300802151	1	0.858	1.20336950931836e-27	Endo	Peak-13541
Peak-17403	1.80578649090886e-32	0.418969858195597	0.973	0.641	2.37229782883678e-27	Endo	Peak-17403
Peak-6213	1.25545637532123e-31	0.282404788955127	1	0.598	1.649318149387e-26	Endo	Peak-6213
Peak-12313	1.94532468072957e-31	0.379715876033537	0.932	0.475	2.55561193956806e-26	Endo	Peak-12313
Peak-24576	3.43410324444808e-31	0.250999892931931	0.89	0.366	4.51145011429633e-26	Endo	Peak-24576
Peak-17643	2.68880410429367e-28	0.28042532559822	0.959	0.542	3.53233572789267e-23	Endo	Peak-17643
Peak-11494	3.57858885223862e-28	0.26681140734806	0.973	0.617	4.70126374696292e-23	Endo	Peak-11494
Peak-7313	1.17529530661216e-27	0.306477114184231	0.973	0.759	1.54400895020253e-22	Endo	Peak-7313
Peak-11656	1.16154867223816e-23	0.259289115566214	0.973	0.737	1.52594972169272e-18	Endo	Peak-11656
Peak-10653	6.21568205973139e-22	0.262115289397994	0.959	0.706	8.16566583551032e-17	Endo	Peak-10653
Peak-6178	6.31336166459573e-22	0.255431554257621	0.986	0.853	8.2939894860127e-17	Endo	Peak-6178
Peak-5273	3.39601050021478e-20	0.270160005174511	1	0.925	4.46140691434216e-15	Endo	Peak-5273
Peak-22235	6.86803878460869e-20	0.264793693420682	0.877	0.552	9.02267991211613e-15	Endo	Peak-22235
Peak-45381	1.91376633936332e-17	0.281252546913639	1	0.911	2.51415311534838e-12	Endo	Peak-4538
Peak-116131	3.71843436680982e-17	0.309262874950717	0.959	0.88	4.8849815963654e-12	Endo	Peak-11613
Peak-90925	2.04766094919918e-08	0.297108691288478	0.6	0.05	0.00269005314218194	Erythrocyte	Peak-90925
