RNA_cell	ATAC_cell	score
WT_C-D6_22	WT_12_9-8	0.165769644779333
WT_C-D7_32	WT_12_10-2	0.354144241119483
WDOU_C-C2_96	WT_12_10-6	0.919268030139935
WDOU_C-C5_27	WT_12_10-6	0.784714747039828
WDOU_C-D4_60	WT_12_10-6	0.865446716899892
WDOU_C-D7_36	WT_12_10-6	0.703982777179763
WDOU_C-D7_02	WT_12_11-2	0.085037674919268
WDOU_C-C4_15	WT_12_11-7	0.192680301399354
WT_C-D1_14	WT_12_11-7	0.354144241119483
WT_C-D3_94	WT_12_11-7	0.354144241119483
WT_C-D4_48	WT_12_11-7	0.273412271259419
WT_C-D2_35	WT_12_12-2	0.11194833153929
WT_C-C9_90	WT_12_12-7	0.138858988159311
WT_C-D9_77	WT_12_12-7	0.246501614639397
WDOU_C-B1_06	WT_13_1-3	0.407965554359526
WD_C-B3_46	WT_13_1-3	0.273412271259419
WT_C-C9_23	WT_13_1-4	0.488697524219591
WD_C-B6_47	WT_13_1-4	0.677072120559742
WD_C-C6_04	WT_13_2-2	0.11194833153929
WT_C-C3_40	WT_13_2-5	0.031216361679225
WT_C-D12_78	WT_13_2-5	0.246501614639397
WD_C-C5_61	WT_13_2-5	0.219590958019376
WD_C-C8_90	WT_13_2-5	0.085037674919268
WT_C-B7_73	WT_13_2-5	0.165769644779333
WDOU_C-B4_88	WT_13_3-2	1
WD_C-C8_60	WT_13_3-2	1
WT_C-B1_83	WT_13_3-2	1
WT_C-B5_29	WT_13_3-2	1
WT_C-C9_29	WT_13_3-8	0.677072120559742
WT_C-D10_46	WT_13_3-8	0.569429494079656
WDOU_C-C1_23	WT_13_4-2	0.542518837459634
WT_C-B6_50	WT_13_4-2	0.515608180839613
WT_C-C4_55	WT_13_4-4	0.192680301399354
WT_C-D6_19	WT_13_5-3	0.192680301399354
WT_C-D11_55	WT_13_5-3	0.031216361679225
WD_C-B1_01	WT_13_5-3	0.138858988159311
WD_C-C1_83	WT_13_5-3	0.11194833153929
WDOU_C-C7_37	WT_13_7-1	0.703982777179763
WT_C-C9_83	WT_13_7-1	0.623250807319699
WD_C-C7_05	WT_13_7-1	0.515608180839613
WT_C-D6_19	WT_13_7-6	0.219590958019376
WD_C-B7_07	WT_13_7-6	0.354144241119483
WDOU_C-C1_95	WT_13_8-1	0.165769644779333
WT_C-B4_30	WT_13_8-1	0.165769644779333
WD_C-C7_58	WT_13_8-6	0.327233584499462
WT_C-B5_68	WT_13_8-6	0.246501614639397
WDOU_C-C2_84	WT_13_8-7	0.919268030139935
WT_C-B5_34	WT_13_8-7	0.730893433799785
WDOU_C-C9_26	WT_13_9-1	0.085037674919268
WD_C-B6_87	WT_13_9-2	0.327233584499462
WD_C-B1_35	WT_13_9-6	0.192680301399354
WD_C-B3_54	WT_13_9-6	0.273412271259419
WDOU_C-C5_33	WT_13_9-8	0.569429494079656
WD_C-C1_47	WT_13_9-8	0.784714747039828
WD_C-B2_19	WT_13_10-2	0.354144241119483
WT_C-D2_05	WT_13_10-8	0.65016146393972
WT_C-D6_26	WT_13_10-8	0.757804090419806
WD_C-C2_81	WT_13_10-8	0.757804090419806
WT_C-B3_75	WT_13_10-8	0.65016146393972
WT_C-D6_78	WT_13_11-1	0.165769644779333
WT_C-D10_33	WT_13_11-1	0.407965554359526
WD_C-C5_11	WT_13_11-1	0.246501614639397
WT_C-C5_25	WT_13_11-2	0
WT_C-D9_71	WT_13_11-2	0.165769644779333
WT_C-D9_72	WT_13_11-5	0.542518837459634
WDOU_C-B4_42	WT_13_11-8	0.596340150699677
WT_C-B7_33	WT_13_11-8	0.596340150699677
WT_C-D3_94	WT_14_1-4	0.461786867599569
WT_C-D12_16	WT_14_1-4	0.407965554359526
